,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,0,0,0,0,histoire,history
1,1,1,1,1,1,1,chercher,search
2,2,2,2,2,2,2,seulement,only
3,3,3,3,3,3,3,police,police
4,4,4,4,4,4,4,pensais,thought
5,5,5,5,5,5,5,aide,help
6,6,6,6,6,6,6,demande,request
7,7,7,7,7,7,7,genre,kind
8,8,8,8,8,8,8,mois,month
9,9,9,9,9,9,9,frère,brother
10,10,10,10,11,11,11,car,because
11,11,11,11,12,12,12,mettre,to put
12,12,12,12,13,13,13,aucun,no
13,13,13,13,14,14,14,laisse,leash
14,14,14,14,15,15,15,eux,them
15,15,15,15,16,16,16,ville,city
16,16,16,16,17,17,17,chaque,each
17,18,18,18,19,19,19,arrivé,come
18,19,19,19,20,20,20,devrait,should
19,20,20,20,21,21,21,bébé,baby
20,21,21,21,22,22,22,longtemps,long time
21,22,22,22,23,23,23,heures,hours
22,24,24,24,25,25,25,pendant,while
23,25,25,25,26,26,26,revoir,meet again
24,26,26,26,27,27,27,aucune,any
25,27,27,27,28,28,28,place,square
26,29,29,29,30,30,30,compris,understood
27,30,30,30,31,31,31,savais,knew
28,32,32,33,34,34,35,pourrais,could
29,33,33,34,35,35,36,affaire,case
30,34,34,35,36,36,37,donner,give
31,35,35,36,37,37,38,type,type
32,36,36,37,38,38,39,leurs,their
33,37,37,38,39,39,40,donné,given
34,38,38,39,40,40,41,train,train
35,39,39,40,41,41,42,corps,body
36,40,40,41,42,42,43,endroit,place
37,41,41,42,44,44,45,façon,way
38,42,42,43,45,45,46,écoute,listen
39,43,43,44,46,46,47,dont,whose
40,44,44,45,47,47,48,trouve,find
41,45,45,46,48,48,49,premier,first
42,46,46,47,49,49,50,perdu,lost
43,47,47,48,50,50,51,main,hand
44,48,48,49,51,51,52,première,first
45,50,50,51,53,53,54,pouvoir,power
46,51,51,52,54,54,55,vieux,old
47,52,52,53,55,55,56,sois,be
48,54,54,55,57,57,58,matin,morning
49,56,56,57,59,59,60,enfant,child
50,58,58,59,61,61,62,venu,came
51,59,59,60,62,62,63,suite,after
52,60,60,61,63,63,64,pardon,sorry
53,61,61,62,64,64,65,venez,come
54,62,62,63,65,65,66,devant,in front of
55,63,63,64,66,66,67,vers,towards
56,65,65,66,68,68,69,demandé,request
57,66,67,68,70,71,72,belle,beautiful
58,68,69,70,72,73,74,aimerais,would like to
59,69,70,71,73,74,75,aujourd'hui,today
60,70,71,72,74,75,76,mari,husband
61,71,72,73,75,76,77,cause,cause
62,72,73,74,76,77,78,enfin,finally
63,73,74,75,77,78,79,espère,hope
64,74,75,76,78,79,80,eau,water
65,75,76,77,79,80,81,attendez,Wait
66,76,77,78,80,81,82,parti,left
67,77,78,79,81,82,83,nouvelle,new
68,78,79,80,82,84,85,arrêter,Stop
69,79,80,81,83,85,86,dirait,would say
70,80,81,82,84,86,87,terre,Earth
71,81,82,83,85,87,88,compte,account
72,82,83,84,86,88,89,donne,given
73,83,84,85,87,89,90,loin,far
74,84,85,86,88,90,91,fin,end
75,85,86,87,89,91,92,croire,believe
76,86,87,88,90,92,93,chérie,sweetheart
77,87,88,89,91,93,94,gros,large
78,89,90,91,93,95,96,aura,will have
79,90,91,92,94,96,97,filles,girls
80,91,92,93,95,97,98,jouer,to play
81,92,93,94,96,98,99,bureau,office
